City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Ranot,TH,77.92,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
396,Upata,VE,78.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
399,Port Keats,AU,85.57,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
400,La Macarena,CO,77.02,scattered clouds,2.1837,-73.7849,Casa Hotel Real
401,Kerewan,GM,78.91,few clouds,13.4898,-16.0888,ADWAC Residents
404,Lorengau,PG,82.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
406,Hobyo,SO,77.88,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
407,Mabaruma,GY,75.83,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
408,Mount Isa,AU,73.17,thunderstorm with heavy rain,-20.7333,139.5,ibis Styles Mt Isa Verona
411,Trinidad,BO,80.58,scattered clouds,-14.8333,-64.9,Hotel Piesta
415,Razole,IN,74.19,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
417,Sao Felix Do Xingu,BR,76.86,light rain,-6.6447,-51.995,Rio Xingu Camping
418,Tautira,PF,76.35,light rain,-17.7333,-149.15,Pension Oaoa
419,Turbat,PK,75.92,scattered clouds,26.0023,63.044,Mubashar Quarters
421,Fernie,CA,73.49,clear sky,49.5,-115.0687,Fernie Stanford Resort
422,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
426,San Lazaro,BZ,80.92,overcast clouds,18.0387,-88.6622,
427,Finschhafen,PG,83.71,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
430,Touros,BR,77.77,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
432,Alamos,MX,84.9,clear sky,27.0167,-108.9333,Luz del Sol
435,Pekalongan,ID,78.98,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
436,Boyolangu,ID,75.99,light rain,-8.1181,111.8935,Yos ega cv
437,Villa Bruzual,VE,78.17,overcast clouds,9.3328,-69.1208,hotel italia
438,Brufut,GM,78.89,few clouds,13.3814,-16.7518,Gambia Hotel Resort & Spa
447,Balabac,PH,80.89,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
449,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
451,Tchollire,CM,73.47,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
454,Sao Desiderio,BR,86.54,overcast clouds,-12.3633,-44.9733,POUSADA BOM SOSSEGO
457,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
458,Wad Rawah,SD,82.94,overcast clouds,15.1603,33.1397,حوش جلي ودراوة
459,Yeppoon,AU,74.98,few clouds,-23.1333,150.7333,Villa Mar Colina
460,Guerrero Negro,MX,75.67,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
461,Hambantota,LK,78.28,overcast clouds,6.1241,81.1185,Bungalow 63
464,Pringsewu,ID,74.28,broken clouds,-5.3582,104.9744,Urban Style by Front One
465,Wamba,NG,73.35,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
471,Tucuma,BR,80.69,scattered clouds,-0.1833,-50.05,
472,Lompoc,US,82.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
478,Tamnag,PH,78.67,overcast clouds,6.5678,124.8506,House
485,Amarante Do Maranhao,BR,85.08,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
494,Urucui,BR,84.83,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
498,Coahuayana,MX,83.34,light rain,18.7333,-103.6833,El rranchito michuacan de ocampos
501,Mangrol,IN,79.83,clear sky,21.1167,70.1167,Hotel The Royal Honours
503,Ambunti,PG,79.45,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
506,Malindi,KE,75.2,clear sky,-3.2175,40.1191,African House Resort
509,Diffa,NE,84.15,clear sky,13.3154,12.6113,ProDAF/Diffa
511,San Rafael Del Sur,NI,86.97,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
513,Laguna,US,81.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
514,Pangkalanbuun,ID,74.77,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
517,Vanimo,PG,82.58,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
520,Kifri,IQ,79.65,clear sky,34.6959,44.9661,بيت نزهان الحديدي
522,Ferkessedougou,CI,75.94,scattered clouds,9.6,-5.2,Hotel Chateau
526,Tifton,US,74.91,overcast clouds,31.4505,-83.5085,Hilton Garden Inn Tifton
530,Russell,US,74.8,clear sky,32.3502,-85.1999,Macs
533,Timizart,DZ,75.06,broken clouds,36.8,4.2667,TOUATI LOTFI
536,Balaipungut,ID,73.4,light rain,1.05,101.2833,Darmo wira
538,Cairns,AU,87.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
544,Stockton,US,80.11,clear sky,37.9577,-121.2908,University Plaza Waterfront Hotel
546,Hurricane,US,81.32,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
547,Tawau,MY,78.93,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
552,Havelock,US,73.94,clear sky,34.8791,-76.9013,Sherwood Motel
553,Ban Nahin,LA,73.22,broken clouds,18.2418,104.2122,
556,Guatire,VE,73.94,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
558,Berbera,SO,81.95,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
560,Miri,MY,75.34,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
567,Bonfim,BR,74.79,overcast clouds,3.0833,-59.95,
570,Aswan,EG,76.84,clear sky,24.0934,32.907,Nuba Nile
572,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
574,Bambanglipuro,ID,78.91,light rain,-7.95,110.2833,Puri Brata
579,San Felipe,VE,73.11,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
