City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Muros,ES,42.7762,-9.0603,59.85,95,5,7.18,clear sky
244,Asifabad,IN,19.3667,79.2833,74.08,92,82,1.21,broken clouds
245,Oussouye,SN,12.485,-16.5469,82.49,85,55,4.99,broken clouds
246,Lyskovo,RU,56.0328,45.0422,45.03,84,88,14.97,overcast clouds
247,Hofn,IS,64.2539,-15.2082,39.83,68,100,5.66,overcast clouds
248,Carnarvon,AU,-24.8667,113.6333,63.39,53,0,17.47,clear sky
249,Nalut,LY,30.3333,10.85,68.5,46,2,9.75,clear sky
250,Jalu,LY,29.0331,21.5482,66.6,58,7,10.33,clear sky
251,Lasa,IT,46.6166,10.7002,49.37,77,17,1.99,few clouds
252,Shenjiamen,CN,29.9576,122.298,62.13,62,10,22.32,clear sky
253,Bundaberg,AU,-24.85,152.35,75.22,76,75,5.01,broken clouds
254,Kawayan,PH,7.5383,122.8725,79.5,81,98,5.28,overcast clouds
255,Sioux Lookout,CA,50.1001,-91.917,26.67,59,75,8.05,broken clouds
256,Kortkeros,RU,61.8106,51.5806,41.18,93,100,8.75,overcast clouds
257,Lazaro Cardenas,MX,17.9583,-102.2,83.61,80,43,3.36,light rain
258,Gladstone,AU,-23.85,151.25,80.78,65,100,16.11,overcast clouds
259,Auki,SB,-8.7676,160.7034,85.98,60,56,2.3,broken clouds
260,Dunedin,NZ,-45.8742,170.5036,50.81,63,100,17.0,overcast clouds
261,Kenai,US,60.5544,-151.2583,48.29,84,75,0.0,broken clouds
262,Hay River,CA,60.8156,-115.7999,62.58,39,20,8.05,smoke
263,Dali,CN,25.7,100.1833,52.34,86,98,3.62,overcast clouds
264,Aykhal,RU,66.0,111.5,17.82,97,100,5.28,overcast clouds
265,Vyartsilya,RU,62.1764,30.693,42.62,100,54,6.78,broken clouds
266,Mayo,US,38.8876,-76.5119,63.18,92,20,0.0,few clouds
267,Dulce Nombre De Culmi,HN,15.1,-85.5333,89.83,75,90,1.7,overcast clouds
268,Taltal,CL,-25.4,-70.4833,61.41,66,22,5.88,few clouds
269,Yanam,IN,16.7333,82.2167,75.49,92,89,4.03,overcast clouds
270,Bilma,NE,18.6853,12.9164,79.68,27,0,8.66,clear sky
271,Thinadhoo,MV,0.5333,72.9333,81.1,72,100,8.01,overcast clouds
272,Asau,RO,46.4333,26.4,38.32,70,11,3.69,few clouds
273,North Battleford,CA,52.7834,-108.2847,63.41,33,0,16.11,clear sky
274,Hirara,JP,24.8,125.2833,75.06,83,75,34.52,broken clouds
275,Saskylakh,RU,71.9167,114.0833,3.04,99,97,3.8,overcast clouds
276,Alofi,NU,-19.0595,-169.9187,77.85,76,46,14.18,scattered clouds
277,Wanning,CN,18.8003,110.3967,73.8,68,100,20.04,overcast clouds
278,Tahta,EG,26.7693,31.5021,73.71,47,0,7.45,clear sky
279,Naze,JP,28.3667,129.4833,65.32,80,99,23.49,light rain
280,Dunga Bunga,PK,29.7493,73.2432,73.36,21,0,4.25,clear sky
281,Sibu,MY,2.3,111.8167,75.51,100,40,3.44,moderate rain
282,Palmer,US,42.1584,-72.3287,57.45,85,100,0.0,overcast clouds
283,Aliwal North,ZA,-30.6937,26.7114,62.92,68,97,4.79,overcast clouds
284,Ambilobe,MG,-13.2,49.05,69.15,73,80,4.45,broken clouds
285,Korla,CN,41.7597,86.1469,51.53,24,71,3.06,broken clouds
286,Xai-Xai,MZ,-25.0519,33.6442,70.12,90,64,7.56,broken clouds
287,Nyandoma,RU,61.669,40.1991,39.09,84,64,11.03,broken clouds
288,Tiarei,PF,-17.5333,-149.3333,82.42,83,36,20.65,light rain
289,Acari,PE,-15.4311,-74.6158,68.31,69,14,4.56,few clouds
290,Muscatine,US,41.4667,-91.1335,40.66,39,100,16.11,overcast clouds
291,Shangrao,CN,28.4532,117.9686,55.83,59,82,10.56,broken clouds
292,Alta Floresta,BR,-9.8756,-56.0861,77.45,69,90,3.87,moderate rain
293,Chibuto,MZ,-24.6867,33.5306,68.9,87,70,6.04,broken clouds
294,San Quintin,MX,30.4833,-115.95,70.93,74,1,14.45,clear sky
295,Komatipoort,ZA,-25.4332,31.9548,70.05,91,33,1.97,scattered clouds
296,Yakeshi,CN,49.2833,120.7333,21.81,57,48,4.07,scattered clouds
297,Luderitz,NA,-26.6481,15.1594,59.99,80,3,8.88,clear sky
298,Kloulklubed,PW,7.0419,134.2556,82.9,74,73,11.68,broken clouds
299,Kulhudhuffushi,MV,6.6221,73.07,77.81,89,100,23.71,overcast clouds
300,Santiago Del Estero,AR,-27.7951,-64.2615,58.57,85,100,3.27,overcast clouds
301,Owando,CG,-0.4819,15.8999,70.99,94,51,0.29,broken clouds
302,Saint George,US,37.1041,-113.5841,82.99,22,0,1.99,clear sky
303,Vallenar,CL,-28.5708,-70.7581,68.67,35,0,4.5,clear sky
304,Aripuana,BR,-9.1667,-60.6333,71.58,97,100,7.52,overcast clouds
305,Whitehorse,CA,60.7161,-135.0538,52.02,75,40,9.22,scattered clouds
306,Kristianstad,SE,56.0313,14.1524,59.14,91,75,10.36,broken clouds
307,Rawson,AR,-43.3002,-65.1023,60.55,55,19,21.18,few clouds
308,Saldanha,ZA,-33.0117,17.9442,59.05,92,92,14.07,overcast clouds
309,Ndele,CF,8.4109,20.6473,68.85,85,99,2.21,overcast clouds
310,Cap Malheureux,MU,-19.9842,57.6142,67.46,75,28,1.99,scattered clouds
311,Resen,MK,41.0889,21.0122,49.69,51,3,3.44,clear sky
312,Yar-Sale,RU,66.8333,70.8333,36.48,84,97,12.19,overcast clouds
313,Dillon,US,34.4166,-79.3712,75.54,52,23,12.03,few clouds
314,Santa Lucia,ES,27.9117,-15.5407,63.77,83,20,8.05,few clouds
315,Popondetta,PG,-8.7537,148.2534,89.02,52,100,2.8,overcast clouds
316,Banda Aceh,ID,5.5577,95.3222,78.08,83,100,10.09,overcast clouds
317,Narsaq,GL,60.9167,-46.05,32.22,73,100,3.76,overcast clouds
318,Dedougou,BF,12.4667,-3.4667,82.04,39,19,3.29,few clouds
319,Kupang,ID,-10.1667,123.5833,82.78,70,100,3.51,overcast clouds
320,Los Amates,GT,15.2667,-89.1,81.25,87,75,1.54,light rain
321,Nouadhibou,MR,20.931,-17.0347,76.98,65,92,16.11,overcast clouds
322,Kalmunai,LK,7.4167,81.8167,77.4,85,85,4.16,overcast clouds
323,San Jose,US,37.3394,-121.895,79.59,51,40,9.22,scattered clouds
324,Kommunar,RU,59.6206,30.39,47.73,89,100,9.55,overcast clouds
325,Inirida,CO,3.8653,-67.9239,75.04,95,95,1.74,overcast clouds
326,Castro,BR,-24.7911,-50.0119,61.32,97,98,9.13,overcast clouds
327,Simpang,ID,-1.2667,104.0833,74.3,96,100,2.08,overcast clouds
328,Cavalcante,BR,-13.7975,-47.4583,78.26,29,5,3.51,clear sky
329,Lufilufi,WS,-13.8745,-171.5986,91.18,75,29,23.42,scattered clouds
330,Chokurdakh,RU,70.6333,147.9167,14.54,96,99,7.63,overcast clouds
331,Lewistown,US,40.5992,-77.5714,52.16,70,75,10.36,broken clouds
332,Kharp,RU,66.8014,65.8081,34.52,98,98,4.14,overcast clouds
333,Rumoi,JP,43.9344,141.6428,46.29,67,93,13.89,light rain
334,Itarema,BR,-2.9248,-39.9167,79.23,79,90,19.22,overcast clouds
335,Rio Cuarto,AR,-33.1307,-64.3499,62.47,48,40,17.27,scattered clouds
336,Bonavista,CA,48.6499,-53.1147,55.27,97,88,8.32,overcast clouds
337,Strangnas,SE,59.3774,17.0312,46.38,94,100,3.56,light rain
338,Fomboni,KM,-12.28,43.7425,76.19,76,0,9.19,clear sky
339,Fairbanks,US,64.8378,-147.7164,43.21,79,0,3.44,clear sky
340,Atambua,ID,-9.1061,124.8925,79.57,74,96,1.63,overcast clouds
341,Toora-Khem,RU,52.4675,96.11,33.67,75,100,1.74,overcast clouds
342,Shenkursk,RU,62.1091,42.896,43.3,79,77,10.02,broken clouds
343,Thunder Bay,CA,48.4001,-89.3168,33.78,59,75,19.57,broken clouds
344,Roma,US,43.2128,-75.4557,52.72,92,100,1.99,overcast clouds
345,Sechura,PE,-5.5569,-80.8222,67.42,67,52,18.57,broken clouds
346,Tyrma,RU,50.0833,132.1667,29.05,63,1,6.87,clear sky
347,Kodiak,US,57.79,-152.4072,51.31,76,0,5.75,clear sky
